Date,Discharge (cfs),  flag,  stage_height,  flag,   ,
5/9/2008,246,  A,1.7,  A,  , 
5/10/2008,229,  A,1.63,  A,  , 
5/11/2008,218,  A,1.58,  A,  , 
5/12/2008,225,  A,1.61,  A,  , 
5/13/2008,188,  A,1.45,  A,  , 
5/14/2008,171,  A,1.37,  A,  , 
5/15/2008,184,  A,1.43,  A,  , 
5/16/2008,186,  A,1.44,  A,  , 
5/17/2008,180,  A,1.41,  A,  , 
5/18/2008,175,  A,1.39,  A,  , 
5/19/2008,165,  A,1.34,  A,  , 
5/20/2008,154,  A,1.28,  A,  , 
5/21/2008,149,  A,1.25,  A,  , 
5/22/2008,146,  A,1.24,  A,  , 
5/23/2008,133,  A,1.17,  A,  , 
5/24/2008,130,  A,1.16,  A,  , 
5/25/2008,120,  A,1.09,  A,  , 
5/26/2008,111,  A,1.03,  A,  , 
5/27/2008,105,  A,0.99,  A,  , 
5/28/2008,99.7,  A,0.95,  A,  , 
5/29/2008,92.5,  A,0.9,  A,  , 
5/30/2008,89.6,  A,0.88,  A,  , 
5/31/2008,84.4,  A,0.85,  A,  , 
6/1/2008,83.1,  A,0.84,  A,  , 
6/2/2008,78.6,  A,0.8,  A,  , 
6/3/2008,75.1,  A,0.77,  A,  , 
6/4/2008,75.6,  A,0.78,  A,  , 
6/5/2008,88.9,  A,0.88,  A,  , 
6/6/2008,97,  A,0.94,  A,  , 
6/7/2008,84.1,  A,0.85,  A,  , 
6/8/2008,76.5,  A,0.78,  A,  , 
6/9/2008,72.4,  A,0.75,  A,  , 
6/10/2008,69.1,  A,0.72,  A,  , 
6/11/2008,66.1,  A,0.69,  A,  , 
6/12/2008,64.2,  A,0.68,  A,  , 
6/13/2008,61.6,  A,0.66,  A,  , 
6/14/2008,60.4,  A,0.65,  A,  , 
6/15/2008,58.4,  A,0.63,  A,  , 
6/16/2008,57.1,  A,0.61,  A,  , 
6/17/2008,55.7,  A,0.6,  A,  , 
6/18/2008,54.4,  A,0.59,  A,  , 
6/19/2008,52.4,  A,0.56,  A,  , 
6/20/2008,51.5,  A,0.56,  A,  , 
6/21/2008,50.3,  A,0.54,  A,  , 
6/22/2008,48.9,  A,0.53,  A,  , 
6/23/2008,47.1,  A,0.51,  A,  , 
6/24/2008,46.3,  A,0.5,  A,  , 
6/25/2008,45.7,  A,0.49,  A,  , 
6/26/2008,44.1,  A,0.47,  A,  , 
6/27/2008,44.1,  A,0.46,  A,  , 
6/28/2008,43.6,  A,0.45,  A,  , 
6/29/2008,42.6,  A,0.44,  A,  , 
6/30/2008,42.6,  A,0.44,  A,  , 
7/1/2008,40.9,  A,0.42,  A,  , 
7/2/2008,39.7,  A,0.41,  A,  , 
7/3/2008,39.4,  A,0.4,  A,  , 
7/4/2008,39,  A,0.4,  A,  , 
7/5/2008,39,  A,0.4,  A,  , 
7/6/2008,42.6,  A,0.44,  A,  , 
7/7/2008,42.9,  A,0.45,  A,  , 
7/8/2008,39.2,  A,0.4,  A,  , 
7/9/2008,37.2,  A,0.37,  A,  , 
7/10/2008,35.7,  A,0.35,  A,  , 
7/11/2008,36.5,  A,0.36,  A,  , 
7/12/2008,45.2,  A,0.45,  A,  , 
7/13/2008,57.3,  A,0.59,  A,  , 
7/14/2008,101,  A,0.8,  A,  , 
7/15/2008,59.1,  A,0.61,  A,  , 
7/16/2008,61.3,  A,0.63,  A,  , 
7/17/2008,47.4,  A,0.49,  A,  , 
7/18/2008,53.6,  A,0.55,  A,  , 
7/19/2008,43.1,  A,0.44,  A,  , 
7/20/2008,43.4,  A,0.44,  A,  , 
7/21/2008,92.5,  A,0.85,  A,  , 
7/22/2008,52.1,  A,0.54,  A,  , 
7/23/2008,44.5,  A,0.45,  A,  , 
7/24/2008,39.2,  A,0.39,  A,  , 
7/25/2008,38.2,  A,0.38,  A,  , 
7/26/2008,37.5,  A,0.37,  A,  , 
7/27/2008,39.3,  A,0.39,  A,  , 
7/28/2008,39.1,  A,0.39,  A,  , 
7/29/2008,39,  A,0.39,  A,  , 
7/30/2008,37.3,  A,0.37,  A,  , 
7/31/2008,35.8,  A,0.35,  A,  , 
8/1/2008,36.1,  A,0.35,  A,  , 
8/2/2008,36,  A,0.34,  A,  , 
8/3/2008,36.3,  A,0.34,  A,  , 
8/4/2008,37.9,  A,0.36,  A,  , 
8/5/2008,53.1,  A,0.54,  A,  , 
8/6/2008,76.5,  A,0.69,  A,  , 
8/7/2008,74.2,  A,0.73,  A,  , 
8/8/2008,52.2,  A,0.53,  A,  , 
8/9/2008,48.4,  A,0.49,  A,  , 
8/10/2008,43.9,  A,0.44,  A,  , 
8/11/2008,39.3,  A,0.38,  A,  , 
8/12/2008,38.4,  A,0.37,  A,  , 
8/13/2008,37.2,  A,0.35,  A,  , 
8/14/2008,36.2,  A,0.34,  A,  , 
8/15/2008,35.7,  A,0.33,  A,  , 
8/16/2008,36.2,  A,0.34,  A,  , 
8/17/2008,34.8,  A,0.32,  A,  , 
8/18/2008,34.5,  A,0.32,  A,  , 
8/19/2008,33.4,  A,0.3,  A,  , 
8/20/2008,31.9,  A,0.28,  A,  , 
8/21/2008,30.9,  A,0.26,  A,  , 
8/22/2008,31.7,  A,0.28,  A,  , 
8/23/2008,36.7,  A,0.35,  A,  , 
8/24/2008,38.9,  A,0.37,  A,  , 
8/25/2008,39.2,  A,0.37,  A,  , 
8/26/2008,41,  A,0.39,  A,  , 
8/27/2008,40.4,  A,0.39,  A,  , 
8/28/2008,42.2,  A,0.41,  A,  , 
8/29/2008,42.5,  A,0.41,  A,  , 
8/30/2008,42.5,  A,0.41,  A,  , 
8/31/2008,44.6,  A,0.44,  A,  , 
9/1/2008,58,  A,0.58,  A,  , 
9/2/2008,47.4,  A,0.47,  A,  , 
9/3/2008,47.2,  A,0.47,  A,  , 
9/4/2008,43.9,  A,0.43,  A,  , 
9/5/2008,42.5,  A,0.41,  A,  , 
9/6/2008,41.1,  A,0.39,  A,  , 
9/7/2008,40.5,  A,0.39,  A,  , 
9/8/2008,41.9,  A,0.4,  A,  , 
9/9/2008,35.7,  A,0.31,  A,  , 
9/10/2008,32.8,  A,0.27,  A,  , 
9/11/2008,30.8,  A,0.24,  A,  , 
9/12/2008,29.9,  A,0.23,  A,  , 
9/13/2008,29.5,  A,0.22,  A,  , 
9/14/2008,29,  A,0.21,  A,  , 
9/15/2008,29.6,  A,0.21,  A,  , 
9/16/2008,29.6,  A,0.21,  A,  , 
9/17/2008,30.6,  A,0.23,  A,  , 
9/18/2008,31.7,  A,0.25,  A,  , 
9/19/2008,31.4,  A,0.24,  A,  , 
9/20/2008,30.8,  A,0.23,  A,  , 
9/21/2008,30.4,  A,0.22,  A,  , 
9/22/2008,31.4,  A,0.23,  A,  , 
9/23/2008,30.6,  A,0.22,  A,  , 
9/24/2008,30.1,  A,0.21,  A,  , 
9/25/2008,29.7,  A,0.21,  A,  , 
9/26/2008,30.5,  A,0.22,  A,  , 
9/27/2008,31.4,  A,0.23,  A,  , 
9/28/2008,32.6,  A,0.24,  A,  , 
9/29/2008,33.9,  A,0.26,  A,  , 
9/30/2008,33.6,  A,0.25,  A,  , 
10/1/2008,32.4,  A,0.24,  A,  , 
10/2/2008,31.9,  A,0.23,  A,  , 
10/3/2008,32.6,  A,0.24,  A,  , 
10/4/2008,40,  A,0.34,  A,  , 
10/5/2008,60.7,  A,0.58,  A,  , 
10/6/2008,43.1,  A,0.38,  A,  , 
10/7/2008,40,  A,0.34,  A,  , 
10/8/2008,39.2,  A,0.33,  A,  , 
10/9/2008,38.6,  A,0.32,  A,  , 
10/10/2008,38.6,  A,0.32,  A,  , 
10/11/2008,39.2,  A,0.33,  A,  , 
10/12/2008,40.8,  A,0.35,  A,  , 
10/13/2008,40.5,  A,0.35,  A,  , 
10/14/2008,40.7,  A,0.35,  A,  , 
10/15/2008,40.4,  A,0.35,  A,  , 
10/16/2008,39,  A,0.33,  A,  , 
10/17/2008,38.8,  A,0.32,  A,  , 
10/18/2008,38.6,  A,0.32,  A,  , 
10/19/2008,38.5,  A,0.32,  A,  , 
10/20/2008,39,  A,0.33,  A,  , 
10/21/2008,39,  A,0.33,  A,  , 
10/22/2008,37.8,  A,0.31,  A,  , 
10/23/2008,37.6,  A,0.31,  A,  , 
10/24/2008,39.4,  A,0.33,  A,  , 
10/25/2008,39.7,  A,0.34,  A,  , 
10/26/2008,39.8,  A,0.34,  A,  , 
10/27/2008,40.3,  A,0.34,  A,  , 
10/28/2008,40.1,  A,0.34,  A,  , 
10/29/2008,39.7,  A,0.34,  A,  , 
10/30/2008,39.8,  A,0.34,  A,  , 
10/31/2008,40.3,  A,0.34,  A,  , 
11/1/2008,41.1,  A,0.35,  A,  , 
11/2/2008,45,  A,0.41,  A,  , 
11/3/2008,49.5,  A,0.46,  A,  , 
11/4/2008,45.5,  A,0.41,  A,  , 
11/5/2008,45.8,  A,0.42,  A,  , 
11/6/2008,43.5,  A,0.38,  A,  , 
11/7/2008,44,  A,0.39,  A,  , 
11/8/2008,43.8,  A,0.39,  A,  , 
11/9/2008,48.2,  A,0.44,  A,  , 
11/10/2008,47.6,  A,0.44,  A,  , 
11/11/2008,45.3,  A,0.41,  A,  , 
11/12/2008,44.7,  A,0.41,  A,  , 
11/13/2008,44.8,  A,0.4,  A,  , 
11/14/2008,44.5,  A,0.4,  A,  , 
11/15/2008,42.9,  A,0.38,  A,  , 
11/16/2008,43.2,  A,0.38,  A,  , 
11/17/2008,43.9,  A,0.39,  A,  , 
11/18/2008,44.1,  A,0.39,  A,  , 
11/19/2008,43.7,  A,0.39,  A,  , 
11/20/2008,44.2,  A,0.39,  A,  , 
11/21/2008,44.9,  A,0.41,  A,  , 
11/22/2008,45.5,  A,0.42,  A,  , 
11/23/2008,45.5,  A,0.42,  A,  , 
11/24/2008,45.5,  A,0.41,  A,  , 
11/25/2008,45.9,  A,0.42,  A,  , 
11/26/2008,84.3,  A,0.68,  A,  , 
11/27/2008,92.3,  A,0.83,  A,  , 
11/28/2008,52.6,  A,0.53,  A,  , 
11/29/2008,47.4,  A,0.47,  A,  , 
11/30/2008,48.5,  A,0.48,  A,  , 
12/1/2008,47.7,  A,0.47,  A,  , 
12/2/2008,46.1,  A,0.45,  A,  , 
12/3/2008,45.7,  A,0.45,  A,  , 
12/4/2008,43.8,  A,0.43,  A,  , 
12/5/2008,40.9,  A,0.39,  A,  , 
12/6/2008,43.9,  A,0.43,  A,  , 
12/7/2008,46.1,  A,0.45,  A,  , 
12/8/2008,47.9,  A,0.48,  A,  , 
12/9/2008,42.5,  A,0.41,  A,  , 
12/10/2008,41.4,  A,0.39,  A,  , 
12/11/2008,48.7,  A,0.48,  A,  , 
12/12/2008,46.8,  A,0.46,  A,  , 
12/13/2008,46.4,  A,0.46,  A,  , 
12/14/2008,40.3,  A,0.38,  A,  , 
12/15/2008,33,  A,0.28,  A,  , 
12/16/2008,43.4,  A,0.42,  A,  , 
12/17/2008,44.9,  A,0.44,  A,  , 
12/18/2008,49.7,  A,0.5,  A,  , 
12/19/2008,49.5,  A,0.49,  A,  , 
12/20/2008,44.8,  A,0.44,  A,  , 
12/21/2008,45.6,  A,0.45,  A,  , 
12/22/2008,52.6,  A,0.53,  A,  , 
12/23/2008,50,  A,0.5,  A,  , 
12/24/2008,45.2,  A,0.44,  A,  , 
12/25/2008,53.9,  A,0.54,  A,  , 
12/26/2008,53.7,  A,0.54,  A,  , 
12/27/2008,38.7,  A,0.36,  A,  , 
12/28/2008,37.3,  A,0.34,  A,  , 
12/29/2008,45.8,  A,0.45,  A,  , 
12/30/2008,49.6,  A,0.49,  A,  , 
12/31/2008,51.3,  A,0.51,  A,  , 
1/1/2009,51,  A,0.51,  A,  , 
1/2/2009,50.5,  A,0.5,  A,  , 
1/3/2009,53.8,  A,0.54,  A,  , 
1/4/2009,46.7,  A,0.46,  A,  , 
1/5/2009,40.6,  A,0.39,  A,  , 
1/6/2009,42.6,  A,0.41,  A,  , 
1/7/2009,46.1,  A,0.45,  A,  , 
1/8/2009,47.7,  A,0.47,  A,  , 
1/9/2009,48.5,  A,0.48,  A,  , 
1/10/2009,47.1,  A,0.47,  A,  , 
1/11/2009,44.6,  A,0.44,  A,  , 
1/12/2009,48.1,  A,0.48,  A,  , 
1/13/2009,48.8,  A,0.49,  A,  , 
1/14/2009,50.2,  A,0.5,  A,  , 
1/15/2009,51,  A,0.51,  A,  , 
1/16/2009,50.3,  A,0.5,  A,  , 
1/17/2009,50.9,  A,0.51,  A,  , 
1/18/2009,50.1,  A,0.5,  A,  , 
1/19/2009,50.1,  A,0.5,  A,  , 
1/20/2009,52.1,  A,0.52,  A,  , 
1/21/2009,52.4,  A,0.52,  A,  , 
1/22/2009,58,  A,0.58,  A,  , 
1/23/2009,78.4,  A,0.77,  A,  , 
1/24/2009,194,  A,1.44,  A,  , 
1/25/2009,120,  A,1.07,  A,  , 
1/26/2009,83.8,  A,0.81,  A,  , 
1/27/2009,54.7,  A,0.54,  A,  , 
1/28/2009,53.6,  A,0.53,  A,  , 
1/29/2009,57,  A,0.56,  A,  , 
1/30/2009,56.3,  A,0.56,  A,  , 
1/31/2009,57.9,  A,0.58,  A,  , 
2/1/2009,57.2,  A,0.57,  A,  , 
2/2/2009,51.1,  A,0.51,  A,  , 
2/3/2009,57.7,  A,0.58,  A,  , 
2/4/2009,58.1,  A,0.58,  A,  , 
2/5/2009,58.6,  A,0.59,  A,  , 
2/6/2009,59.3,  A,0.6,  A,  , 
2/7/2009,59,  A,0.59,  A,  , 
2/8/2009,70,  A,  ,  ,  , 
2/9/2009,66.2,  A,0.67,  A,  , 
2/10/2009,53,  A,0.54,  A,  , 
2/11/2009,50.9,  A,0.51,  A,  , 
2/12/2009,65.1,  A,0.66,  A,  , 
2/13/2009,51.1,  A,0.52,  A,  , 
2/14/2009,60.9,  A,0.62,  A,  , 
2/15/2009,48.4,  A,0.49,  A,  , 
2/16/2009,62.4,  A,0.63,  A,  , 
2/17/2009,64.8,  A,0.66,  A,  , 
2/18/2009,57.5,  A,0.59,  A,  , 
2/19/2009,52.7,  A,0.53,  A,  , 
2/20/2009,56.1,  A,0.58,  A,  , 
2/21/2009,61.9,  A,0.64,  A,  , 
2/22/2009,62.5,  A,0.65,  A,  , 
2/23/2009,85.9,  A,0.84,  A,  , 
2/24/2009,84.1,  A,0.84,  A,  , 
2/25/2009,81,  A,0.81,  A,  , 
2/26/2009,73.5,  A,0.75,  A,  , 
2/27/2009,69.7,  A,0.71,  A,  , 
2/28/2009,61.2,  A,0.63,  A,  , 
3/1/2009,63.3,  A,0.65,  A,  , 
3/2/2009,62.8,  A,0.65,  A,  , 
3/3/2009,74.6,  A,0.77,  A,  , 
3/4/2009,83.3,  A,0.84,  A,  , 
3/5/2009,76.4,  A,0.78,  A,  , 
3/6/2009,69.1,  A,0.72,  A,  , 
3/7/2009,65.7,  A,0.69,  A,  , 
3/8/2009,57.4,  A,0.61,  A,  , 
3/9/2009,61.9,  A,0.65,  A,  , 
3/10/2009,59,  A,0.62,  A,  , 
3/11/2009,56.4,  A,0.59,  A,  , 
3/12/2009,63,  A,0.66,  A,  , 
3/13/2009,59.9,  A,0.63,  A,  , 
3/14/2009,60.7,  A,0.65,  A,  , 
3/15/2009,63.1,  A,0.67,  A,  , 
3/16/2009,63.5,  A,0.68,  A,  , 
3/17/2009,68.6,  A,0.72,  A,  , 
3/18/2009,78.7,  A,0.81,  A,  , 
3/19/2009,90.9,  A,0.91,  A,  , 
3/20/2009,100,  A,0.97,  A,  , 
3/21/2009,115,  A,1.07,  A,  , 
3/22/2009,113,  A,1.06,  A,  , 
3/23/2009,89.2,  A,0.9,  A,  , 
3/24/2009,74.6,  A,0.78,  A,  , 
3/25/2009,72.7,  A,0.76,  A,  , 
3/26/2009,71.4,  A,0.75,  A,  , 
3/27/2009,60.8,  A,0.65,  A,  , 
3/28/2009,67,  A,0.71,  A,  , 
3/29/2009,74.4,  A,0.78,  A,  , 
3/30/2009,75.1,  A,0.78,  A,  , 
3/31/2009,72.2,  A,0.75,  A,  , 
4/1/2009,73.6,  A,0.77,  A,  , 
4/2/2009,70.2,  A,0.74,  A,  , 
4/3/2009,103,  A,0.99,  A,  , 
4/4/2009,77.1,  A,0.79,  A,  , 
4/5/2009,74.4,  A,0.77,  A,  , 
4/6/2009,76.4,  A,0.79,  A,  , 
4/7/2009,88.3,  A,0.89,  A,  , 
4/8/2009,122,  A,1.11,  A,  , 
4/9/2009,118,  A,1.08,  A,  , 
4/10/2009,141,  A,1.21,  A,  , 
4/11/2009,138,  A,1.2,  A,  , 
4/12/2009,121,  A,1.1,  A,  , 
4/13/2009,137,  A,1.19,  A,  , 
4/14/2009,189,  A,1.46,  A,  , 
4/15/2009,171,  A,1.37,  A,  , 
4/16/2009,134,  A,1.17,  A,  , 
4/17/2009,116,  A,1.05,  A,  , 
4/18/2009,123,  A,1.1,  A,  , 
4/19/2009,168,  A,1.34,  A,  , 
4/20/2009,251,  A,1.71,  A,  , 
